Date,WPM
2011-07-22,156.25
2011-07-22,216.73003802281372
2011-07-22,140.51522248243558
2011-07-22,213.11475409836063
2011-07-22,178.39444995044613
2011-07-22,173.0977280923188
2011-07-22,143.54066985645923
2011-07-22,70.86614173228348
2011-07-22,159.63511972633978
2011-07-22,186.66666666666669
2011-07-22,138.5390428211586
2011-07-22,142.857142857143
2011-07-22,243.97873005943052
2011-07-22,208.95522388059723
2011-07-22,204.57866536775444
2011-07-22,209.30232558139548
2011-07-22,215.38461538461547
2011-07-22,146.067415730337
2011-07-22,122.95081967213126
2011-07-22,215.56886227544888
2011-07-22,135.17862890247832
2011-07-22,131.2499999999999
2011-07-22,244.56521739130483
2011-07-22,256.57894736842053
2011-07-22,156.52173913043495
2011-07-22,162.7118644067795
2011-07-22,205.12820512820608
2011-07-22,142.8571428571427
2011-07-22,190.14084507042233
2011-07-22,113.92405063291152
2011-07-22,108.43373493975834
2011-07-22,184.78260869565185
2011-07-22,185.56701030927854
2011-07-22,170.39403620873225
2011-07-22,197.36842105263148
2011-07-22,139.5348837209311
2011-07-22,156.79442508710778
2011-07-22,138.42604460394733
2011-07-22,83.72093023255792
2011-07-22,202.7027027027028
2011-07-22,189.8734177215192
2011-07-22,191.78082191780842
2011-07-22,107.14285714285671
2011-07-22,177.9661016949153
2011-07-22,184.615384615385
2011-07-22,181.81818181818275
2011-07-22,139.53488372092988
2011-07-22,160.5448795913407
2011-07-22,158.94039735099284
2011-07-22,166.6666666666653
2011-07-22,88.75739644970426
2011-07-22,130.43478260869662
2011-07-22,153.2846715328462
2011-07-22,137.4045801526715
2011-07-22,153.84615384615643
2011-07-22,123.56575463371577
2011-07-22,137.37836290784202
2011-07-22,78.22685788787477
2011-07-22,143.71257485030048
2011-07-22,112.24489795918376
2011-07-22,132.21683561040075
2011-07-22,122.44897959183803
2011-07-22,135.0916693470553
2011-07-22,163.63636363636448
2011-07-22,229.5081967213099
2011-07-22,113.82799325463677
2011-07-22,187.49999999999983
2011-07-22,83.58486185279746
2011-07-22,299.99999999999267
2011-07-22,121.85833968012297
2011-07-22,141.4677276746254
2011-07-22,140.07782101167044
2011-07-22,148.23261117445836
2011-07-22,193.88954171562887
2011-07-22,115.08951406649668
2011-07-22,164.55696202531612
2011-07-22,111.42857142857143
2011-07-22,206.47773279352236
2011-07-22,152.17391304347876
2011-07-22,265.82278481012446
2011-07-22,195.65217391304614
2011-07-22,283.78378378378034
2011-07-22,125.0000000000002
2011-07-22,125.0000000000002
2011-08-02,218.1818181818182
2011-08-02,211.76470588235296
2011-08-02,93.75000000000004
2011-08-02,132.74336283185843
2011-08-02,248.61878453038668
2011-08-02,179.34782608695645
2011-08-02,208.4884586746091
2011-08-02,143.24082363473593
2011-08-02,260.11560693641616
2011-08-02,60.0
2011-08-02,152.671755725191
2011-08-02,144.0
2011-08-02,175.5319148936168
2011-08-02,171.91977077363904
2011-08-02,295.38461538461536
2011-08-02,291.97080291970707
2011-08-02,224.59893048128373
2011-08-02,206.8965517241377
2011-08-02,179.10447761194047
2011-08-02,208.69565217391332
2011-08-02,89.41877794336725
2011-08-02,168.5393258426965
2011-08-02,126.64907651715066
2011-08-02,203.65535248041706
2011-08-02,158.87025595763524
2011-08-02,147.42014742014715
2011-08-02,97.90209790209776
2011-08-02,154.14258188824687
2011-08-02,198.01980198019766
2011-08-02,187.50000000000122
2011-08-02,196.13184418414565
2011-08-02,222.222222222223
2011-08-02,117.87819253438106
2011-08-02,134.07821229050234
2011-08-02,175.9960889758008
2011-08-02,159.216166564605
2011-08-02,164.27104722792623
2011-08-02,222.85714285714286
2011-08-02,259.22233300099697
2011-08-02,120.0
2011-08-02,155.1724137931039
2011-08-02,215.82733812949633
2011-08-02,156.06936416185064
